Date,HSI,HSTECH,USDCNH,VHSI,BTC
2021-08-11,26660.16,6820.68,6.4753,19.98,45564.3
2021-08-12,26517.82,6719.19,6.4747,19.78,44403.4
2021-08-13,26391.62,6589.54,6.4752,19.79,47809.1
2021-08-16,26181.46,6420.14,6.4743,20.66,45996.3
2021-08-17,25745.87,6218.89,6.49,22.89,44691.6
2021-08-18,25867.01,6226.69,6.4826,22.11,44723.8
2021-08-19,25316.33,6044.03,6.4991,24.72,46755.9
2021-08-20,24849.72,5895.06,6.4973,27.2,49324
2021-08-23,25109.59,6021.27,6.4753,25.33,49539.7
2021-08-24,25727.92,6446.18,6.4682,23,47714.7
2021-08-25,25693.95,6458.97,6.4689,23.1,48994.5
2021-08-26,25415.69,6337.03,6.4832,23.56,46831.6
2021-08-27,25407.89,6322.28,6.4625,23.91,49064.3
2021-08-30,25539.54,6391.17,6.4639,23.24,46992.7
2021-08-31,25878.99,6607.78,6.4524,22.13,47130.4
2021-09-01,26028.29,6693.66,6.4507,20.43,48819.4
2021-09-02,26090.43,6801.47,6.4472,19.76,49274.3
2021-09-03,25901.99,6728.84,6.4344,20.21,49999
2021-09-06,26163.63,6778.49,6.4488,19.53,52672.1
2021-09-07,26353.63,6887.94,6.46,18.7,46779.6
2021-09-08,26320.93,6871.28,6.4544,19.71,46061.4
2021-09-09,25716,6560.39,6.4498,21.8,46385.6
2021-09-10,26205.91,6748.36,6.443,19.73,44842.8
2021-09-13,25813.81,6595.03,6.4406,21.11,44949.5
2021-09-14,25502.23,6502.35,6.4322,22.04,47077.5
2021-09-15,25033.21,6298.09,6.4251,23.65,48130.6
2021-09-16,24667.85,6232.93,6.4517,25.18,47748
2021-09-17,24920.76,6452.19,6.4717,24.14,47282.8
2021-09-20,24099.14,6271.37,6.481,29.84,42870.6
2021-09-21,24221.54,6242.61,6.4804,28.7,40651.3
2021-09-23,24510.98,6300.49,6.4606,26.55,44869.2
2021-09-24,24192.16,6159.96,6.4595,27.75,42819.9
2021-09-27,24208.78,6103.89,6.4568,26.54,42172.6
2021-09-28,24500.39,6231.55,6.4646,25.51,41022.3
2021-09-29,24663.5,6179.43,6.4763,24.99,41536.8
2021-09-30,24575.64,6101.52,6.4474,24.67,43823.3
2021-10-04,24036.37,5973.8,6.4477,27.51,49227.3
2021-10-05,24104.15,5955.22,6.4478,26.88,51469.3
2021-10-06,23966.49,5866.15,6.4526,26.53,55323.2
2021-10-07,24701.73,6172.04,6.4513,24.26,53783.9
2021-10-08,24837.85,6206.77,6.4431,24.07,53914.7
2021-10-11,25325.09,6403.69,6.4579,23.45,57477.3
2021-10-12,24962.59,6199.75,6.4541,24.07,56015.9
2021-10-15,25330.96,6318.91,6.4328,21.71,61672.5
2021-10-18,25409.75,6324.27,6.4262,21.33,62056.3
2021-10-19,25787.21,6518.59,6.375,20.49,64278.5
2021-10-20,26136.02,6691.33,6.3927,20.22,65979.1
2021-10-21,26017.53,6636.18,6.3932,20.17,62210.2
2021-10-22,26126.93,6754.34,6.3819,19.37,60690.3
2021-10-25,26132.03,6744.74,6.3809,18.75,63067
2021-10-26,26038.27,6654.19,6.3772,18.58,60310.8
2021-10-27,25628.74,6441.62,6.3924,19.13,58438.1
